1. Which is your primary browser for development,2. Which of the following technologies have you made use of?,2. Which of the following technologies have you made use of?,2. Which of the following technologies have you made use of?,2. Which of the following technologies have you made use of?,2. Which of the following technologies have you made use of?,3. How old are the apps you frequently work on?,3. How old are the apps you frequently work on?,3. How old are the apps you frequently work on?,3. How old are the apps you frequently work on?,4. What is your typical Internet connection speed?,5. Web innovation is outpacing native,6. I am satisfied with the state of browser tooling for web dev,7. Building for the web is becoming easier over time,8. I feel safe while browsing the web,9. I am satisfied with browser standards adoption,10. The web is improving for end-users,11. I am satisfied with the communication between the software side and the business side of my organization,12. I am satisfied with the communication between the design side and the engineering side of my organization,13. I am satisfied with the state of analytics tooling for the web,14. I am satisfied with the state of a/b test tooling for the web,15. I am satisfied with the current user interface design trends for the web,16. I am familiar with the laws associated with GDPR,17. The desktop web is typically slow and sluggish,18. Accessibility is an important concern in my web development,19. The mobile web is typically slow and sluggish,20. I dislike ads on the web,21. I am optimistic about the future of progressive web apps,22. Artificial intelligence advancements are having a big impact on the web,23. I am satisfied with the development libraries my team and I use,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,"26. When working with CSS, which of the following do you make use of?","26. When working with CSS, which of the following do you make use of?","26. When working with CSS, which of the following do you make use of?","26. When working with CSS, which of the following do you make use of?","26. When working with CSS, which of the following do you make use of?",27. How does your team/project do a/b testing in your projects?,28. Which desktop operating system do you use for development?,28. Which desktop operating system do you use for development?,28. Which desktop operating system do you use for development?,28. Which desktop operating system do you use for development?,29. Does your team/project support IE 10 and under?,30. Should browsers still allow users to disable JavaScript?,31. Do the apps/sites you work on typically import custom fonts?,32. Does your team create design mockups before coding?,"33. Does your team use a package manager such as npm, yarn, bower, etc.?",34. Do your projects currently serve WebP-formatted images to supporting browsers?,35. Does your team write code tests for front-end code?,36. Does your team write code tests for back-end code?,37. Do you typically practice test-driven-development?,38. What is your age?,39. How long have you been working in software (in years),40. Which mobile device ecosystem you use for personal use?,41. What is your gender identity?,42. Which of the following educational programs have you made use of?,42. Which of the following educational programs have you made use of?,42. Which of the following educational programs have you made use of?,42. Which of the following educational programs have you made use of?,42. Which of the following educational programs have you made use of?,43. Are you a...
Chrome,(blank),(blank),Browser Push Notifications,Content Distribution Network (CDN),(blank),(blank),(blank),3-8 years,(blank),Over 15mbps,8,8,10,9,4,10,5,9,9,10,7,6,1,8,6,5,10,7,9,Front-end web development,(blank),(blank),(blank),Web tooling development,(blank),(blank),(blank),(blank),(blank),(blank),Angular,Polymer,(blank),(blank),(blank),(blank),flexbox,grid,preprocessors,(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),(blank),,0,0,0,1,1,0,1,1,0,30 - 34,10,,,(blank),(blank),(blank),(blank),None of the above,Cat person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,1-3 years,3-8 years,(blank),Over 15mbps,6,5,7,0,3,8,5,8,8,5,10,9,0,3,7,10,10,8,2,Front-end web development,(blank),Web design,Product manager for web team,Web tooling development,(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),I use frameworks but none of these,(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),Third party product/service,MacOS,(blank),Linux,,0,0,1,1,1,0,1,1,0,30 - 34,5,,,(blank),An in-person bootcamp/coding school graduation,An intensive online learning program,A self-paced online learning program,(blank),Dog person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,1-3 years,3-8 years,(blank),5mbps to 10mbps,10,3,5,5,3,8,2,7,5,5,8,5,5,5,6,10,8,8,7,Front-end web development,(blank),Web design,(blank),Web tooling development,(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),Third party product/service,MacOS,Windows,Linux,,0,0,1,1,1,0,0,1,0,25 - 29,3,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),(blank),(blank),3-8 years,(blank),Less than 500kbps,8,7,7,4,,,7,9,6,,10,8,5,9,5,10,9,9,8,(blank),Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),Angular,(blank),(blank),(blank),(blank),(blank),(blank),grid,(blank),(blank),(blank),My team doesn't practice a/b testing,(blank),(blank),Linux,,0,0,1,1,1,0,1,0,0,18 - 24,3,,,A computer science degree,(blank),(blank),(blank),(blank),Dog person
Chrome,HTTP2,Service Workers,(blank),Content Distribution Network (CDN),Accelerated Mobile Pages (AMP),Less than 1 year,1-3 years,(blank),(blank),Over 15mbps,7,6,7,0,,7,,,7,,6,,7,8,8,,7,3,,Front-end web development,Back-end web development,Web design,(blank),Web tooling development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I use frameworks but none of these,(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),,(blank),(blank),Linux,,,1,1,0,1,0,,,0,,,,,(blank),(blank),(blank),(blank),(blank),
Chrome,(blank),(blank),(blank),(blank),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,7,8,8,9,6,8,3,5,5,6,5,7,2,5,4,2,8,7,5,Front-end web development,Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),Vue,(blank),(blank),(blank),flexbox,(blank),(blank),(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,1,0,1,1,1,0,0,1,1,25 - 29,1,,,A computer science degree,(blank),(blank),(blank),(blank),Dog person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),Less than 500kbps,9,9,9,9,9,9,8,8,9,9,9,0,5,7,5,9,10,10,9,Front-end web development,Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),I don't use any JavaScript frameworks,(blank),(blank),grid,(blank),(blank),(blank),Custom built solution,(blank),Windows,(blank),,0,0,0,1,1,0,0,1,0,18 - 24,4,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,HTTP2,Service Workers,Browser Push Notifications,(blank),(blank),Less than 1 year,(blank),(blank),(blank),2mbps to 5mbps,10,5,7,7,7,9,,,,,8,3,6,6,2,8,10,6,8,Front-end web development,Back-end web development,Web design,(blank),Web tooling development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),Polymer,(blank),I use frameworks but none of these,(blank),(blank),flexbox,grid,preprocessors,(blank),(blank),My team doesn't practice a/b testing,(blank),(blank),Linux,,0,0,1,1,1,0,0,1,0,25 - 29,,,,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,(blank),Service Workers,(blank),(blank),(blank),Less than 1 year,(blank),(blank),(blank),500kbps to 2mbps,7,7,9,2,5,8,5,7,7,5,8,0,8,8,7,10,9,10,9,Front-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),Vue,(blank),(blank),(blank),flexbox,(blank),(blank),(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,0,1,1,1,0,0,0,0,18 - 24,0,,,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Neither
Chrome,(blank),Service Workers,(blank),(blank),Accelerated Mobile Pages (AMP),Less than 1 year,(blank),(blank),(blank),5mbps to 10mbps,10,10,6,5,5,8,0,10,5,5,5,0,5,8,2,0,10,5,5,Front-end web development,Back-end web development,Web design,(blank),Web tooling development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),Polymer,(blank),(blank),(blank),(blank),flexbox,grid,(blank),(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,1,0,1,1,0,0,0,0,25 - 29,4,,,A computer science degree,(blank),(blank),(blank),(blank),Dog person
Safari,HTTP2,Service Workers,Browser Push Notifications,(blank),(blank),Less than 1 year,(blank),(blank),(blank),500kbps to 2mbps,6,6,8,8,8,8,6,6,5,3,8,5,6,2,7,9,10,9,7,Front-end web development,Back-end web development,(blank),(blank),(blank),Admin/ops for web team,(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,(blank),(blank),(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),(blank),,0,1,1,1,1,0,0,1,0,25 - 29,3,,,A computer science degree,(blank),(blank),(blank),(blank),Dog person
Chrome,(blank),(blank),(blank),(blank),(blank),(blank),1-3 years,(blank),(blank),500kbps to 2mbps,7,1,10,8,5,9,10,10,5,5,8,2,7,8,4,3,9,,7,Front-end web development,(blank),Web design,(blank),(blank),(blank),I am a developer but not for web,(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,grid,(blank),(blank),(blank),My team doesn't practice a/b testing,(blank),(blank),Linux,Arch Linux,0,1,1,0,1,0,0,1,0,18 - 24,8,,,(blank),(blank),(blank),(blank),None of the above,Neither
Chrome,HTTP2,Service Workers,(blank),(blank),(blank),(blank),1-3 years,(blank),(blank),500kbps to 2mbps,8,9,8,8,7,9,8,8,9,8,9,5,2,9,0,2,0,5,5,Front-end web development,Back-end web development,Web design,(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,(blank),(blank),(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,0,1,1,1,1,0,1,0,18 - 24,2,,,A computer science degree,An in-person bootcamp/coding school graduation,An intensive online learning program,A self-paced online learning program,(blank),Cat person
Firefox,(blank),(blank),(blank),(blank),(blank),Less than 1 year,1-3 years,(blank),(blank),Over 15mbps,9,7,6,5,3,8,6,7,6,5,8,0,7,7,5,10,7,7,9,Front-end web development,Back-end web development,Web design,Product manager for web team,(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,grid,preprocessors,(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,0,1,1,1,0,1,1,0,25 - 29,5,,,A computer science degree,(blank),(blank),(blank),(blank),Dog person
Chrome,(blank),Service Workers,(blank),Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),2mbps to 5mbps,8,8,9,4,7,9,5,8,7,5,7,6,3,7,8,9,8,3,7,Front-end web development,Back-end web development,Web design,(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),Linux,,0,1,1,1,1,0,0,1,0,30 - 34,10,,,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Dog person
Other,HTTP2,(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,1-3 years,(blank),(blank),Over 15mbps,7,5,3,7,3,8,4,8,7,5,7,6,4,6,6,8,7,7,6,Front-end web development,Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't use any JavaScript frameworks,(blank),(blank),(blank),(blank),(blank),I don't work with CSS,My team doesn't practice a/b testing,(blank),Windows,(blank),,0,0,1,1,0,0,0,0,0,25 - 29,5,,,A computer science degree,(blank),(blank),(blank),(blank),Dog person
Chrome,HTTP2,Service Workers,Browser Push Notifications,Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),5mbps to 10mbps,7,6,7,4,5,8,6,5,5,8,8,2,0,0,6,4,7,5,7,Front-end web development,Back-end web development,(blank),(blank),(blank),Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),Angular,(blank),Vue,(blank),(blank),(blank),flexbox,(blank),(blank),(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,Linux,,0,1,1,1,1,0,0,0,0,25 - 29,4,,,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,1-3 years,3-8 years,(blank),Over 15mbps,9,5,10,10,3,7,3,3,3,2,2,3,3,8,8,10,1,1,9,Front-end web development,Back-end web development,Web design,(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,(blank),(blank),(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,1,1,1,1,0,1,1,0,18 - 24,4,,,A computer science degree,(blank),(blank),(blank),(blank),Dog person
Chrome,(blank),Service Workers,Browser Push Notifications,Content Distribution Network (CDN),(blank),Less than 1 year,(blank),3-8 years,(blank),Over 15mbps,7,6,4,8,6,8,6,8,6,6,7,5,4,7,7,5,8,5,4,Front-end web development,Back-end web development,Web design,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),Angular,(blank),(blank),(blank),(blank),(blank),flexbox,grid,preprocessors,(blank),(blank),Custom built solution,MacOS,(blank),Linux,,1,1,1,1,1,0,1,1,0,35 - 39,20,,,(blank),(blank),(blank),(blank),None of the above,Cat person
Chrome,(blank),(blank),(blank),(blank),(blank),(blank),1-3 years,(blank),(blank),,5,8,3,5,3,7,7,,2,,7,0,7,7,7,10,8,5,2,Front-end web development,Back-end web development,(blank),(blank),(blank),Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),(blank),Polymer,(blank),(blank),I don't use any JavaScript frameworks,(blank),flexbox,(blank),(blank),(blank),(blank),My team doesn't practice a/b testing,MacOS,Windows,(blank),,0,1,0,0,1,0,0,0,0,25 - 29,4,,,A computer science degree,(blank),(blank),(blank),(blank),Dog person
Chrome,(blank),Service Workers,(blank),Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),Over 15mbps,7,7,8,10,7,7,5,3,,,7,5,1,7,5,5,9,2,2,Front-end web development,Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,Angular,(blank),(blank),(blank),(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),(blank),,0,1,1,1,1,0,,1,0,18 - 24,2,,,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,(blank),Service Workers,(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,8,6,6,7,7,9,7,6,4,4,8,1,2,9,4,5,7,8,8,Front-end web development,(blank),Web design,Product manager for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),Angular,(blank),(blank),(blank),(blank),(blank),flexbox,grid,preprocessors,(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,0,1,1,1,0,0,0,0,25 - 29,5,,,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,1-3 years,(blank),(blank),Over 15mbps,10,8,6,2,8,10,0,10,6,5,3,0,2,8,7,9,10,7,7,Front-end web development,Back-end web development,(blank),(blank),(blank),Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),Angular,(blank),(blank),I use frameworks but none of these,(blank),(blank),flexbox,(blank),(blank),(blank),(blank),Third party product/service,(blank),Windows,Linux,,0,1,0,1,1,0,0,1,0,25 - 29,5,,,A computer science degree,(blank),(blank),(blank),(blank),Cat person
Chrome,(blank),(blank),(blank),(blank),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,,5,5,7,7,10,,,,,8,6,3,7,5,7,9,10,7,Front-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,(blank),(blank),(blank),(blank),,(blank),Windows,(blank),,0,1,1,0,1,1,,,0,30 - 34,1,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Cat person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),Accelerated Mobile Pages (AMP),(blank),(blank),3-8 years,(blank),I don't know,8,8,10,8,6,9,7,9,7,7,8,2,8,5,9,10,8,8,,Front-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I use frameworks but none of these,(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),My team doesn't practice a/b testing,MacOS,Windows,(blank),,0,0,0,1,1,0,1,1,1,,,,,A computer science degree,An in-person bootcamp/coding school graduation,(blank),A self-paced online learning program,(blank),Dog person
Chrome,(blank),(blank),(blank),(blank),(blank),Less than 1 year,(blank),3-8 years,(blank),I don't know,6,6,8,7,4,8,2,6,6,5,7,0,4,4,6,10,8,10,0,Front-end web development,(blank),(blank),(blank),Web tooling development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I use frameworks but none of these,(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),(blank),,0,1,1,1,1,1,1,1,0,25 - 29,2,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,1-3 years,(blank),(blank),Over 15mbps,7,9,5,4,7,8,3,2,7,5,7,7,2,8,7,10,8,9,8,Front-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),Third party product/service,MacOS,(blank),(blank),,0,1,1,1,1,0,1,1,0,25 - 29,6,,,(blank),(blank),(blank),(blank),None of the above,Cat person
Chrome,HTTP2,Service Workers,Browser Push Notifications,(blank),(blank),Less than 1 year,1-3 years,(blank),(blank),500kbps to 2mbps,9,10,10,9,7,10,,,10,10,9,0,0,10,4,5,8,5,8,Front-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,grid,preprocessors,(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,1,1,0,1,0,1,0,0,18 - 24,1,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,(blank),(blank),(blank),(blank),(blank),(blank),1-3 years,(blank),(blank),2mbps to 5mbps,4,6,10,6,7,10,6,6,6,4,7,0,4,2,0,6,5,5,8,Front-end web development,Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),Angular,(blank),(blank),(blank),(blank),(blank),(blank),grid,(blank),(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,0,1,0,1,0,0,1,0,18 - 24,3,,,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Neither
Chrome,HTTP2,(blank),Browser Push Notifications,Content Distribution Network (CDN),(blank),(blank),(blank),3-8 years,(blank),Over 15mbps,6,9,2,5,8,10,7,9,7,7,7,3,2,4,7,10,10,0,1,Front-end web development,(blank),Web design,(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,grid,preprocessors,(blank),(blank),Third party product/service,(blank),Windows,(blank),,0,1,1,0,1,0,0,0,0,25 - 29,1,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,HTTP2,Service Workers,(blank),(blank),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,10,10,5,10,5,10,5,10,10,10,10,5,3,10,10,10,10,0,10,Front-end web development,Back-end web development,Web design,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't use any JavaScript frameworks,(blank),(blank),grid,(blank),(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),Linux,,0,0,1,0,1,1,0,1,0,18 - 24,3,,,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Neither
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),Over 15mbps,6,6,7,6,7,9,5,4,4,5,7,10,7,3,6,7,8,7,,Front-end web development,Back-end web development,Web design,(blank),Web tooling development,Admin/ops for web team,(blank),(blank),(blank),(blank),React,(blank),(blank),Vue,(blank),(blank),(blank),flexbox,grid,preprocessors,(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,1,1,1,1,0,0,0,0,35 - 39,15,,,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,1-3 years,3-8 years,More than 8 years,I don't know,3,7,6,3,6,9,1,5,6,4,6,3,7,3,3,8,8,5,7,(blank),Back-end web development,(blank),(blank),(blank),Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I use frameworks but none of these,(blank),(blank),(blank),(blank),(blank),(blank),I don't work with CSS,My team doesn't practice a/b testing,(blank),Windows,(blank),,0,0,1,0,1,0,0,1,0,35 - 39,10,,,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Neither
Chrome,(blank),Service Workers,(blank),Content Distribution Network (CDN),Accelerated Mobile Pages (AMP),Less than 1 year,1-3 years,3-8 years,(blank),Over 15mbps,10,5,5,7,3,8,8,4,8,5,8,7,1,9,6,10,9,3,8,Front-end web development,Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I use frameworks but none of these,(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),(blank),,1,1,1,1,1,0,1,0,0,25 - 29,5,,,A computer science degree,(blank),(blank),(blank),(blank),Neither
Chrome,(blank),(blank),Browser Push Notifications,(blank),(blank),(blank),(blank),3-8 years,(blank),5mbps to 10mbps,7,8,6,3,8,3,8,0,9,8,8,3,3,,3,,3,9,9,Front-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't use any JavaScript frameworks,(blank),(blank),(blank),(blank),(blank),(blank),Open source library/framework,MacOS,(blank),(blank),,0,1,0,0,1,0,1,0,0,40 - 49,15,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Neither
Chrome,(blank),Service Workers,Browser Push Notifications,Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),5mbps to 10mbps,8,8,4,8,9,7,8,6,5,8,4,3,8,7,2,6,9,6,7,Front-end web development,(blank),Web design,Product manager for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),Vue,(blank),(blank),(blank),flexbox,grid,(blank),(blank),(blank),Custom built solution,(blank),Windows,Linux,,0,1,1,1,1,1,0,1,0,25 - 29,11,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,HTTP2,Service Workers,(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,10,6,0,8,7,9,,,5,3,8,0,2,2,5,1,9,3,2,Front-end web development,Back-end web development,Web design,(blank),Web tooling development,(blank),(blank),(blank),(blank),(blank),React,(blank),Polymer,(blank),(blank),I don't use any JavaScript frameworks,(blank),flexbox,(blank),(blank),(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),(blank),,0,0,0,1,1,0,0,0,1,18 - 24,7,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),2mbps to 5mbps,5,6,8,4,7,7,7,6,7,5,8,6,5,7,5,5,5,8,5,Front-end web development,Back-end web development,Web design,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),Angular,(blank),(blank),(blank),(blank),(blank),flexbox,grid,(blank),(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,0,0,1,1,0,0,0,0,25 - 29,1,,,A computer science degree,(blank),An intensive online learning program,A self-paced online learning program,(blank),Neither
Chrome,HTTP2,(blank),(blank),Content Distribution Network (CDN),(blank),(blank),1-3 years,3-8 years,(blank),10mbps to 15mbps,7,8,9,7,7,9,8,8,3,3,5,7,2,9,5,6,8,8,5,Front-end web development,Back-end web development,Web design,Product manager for web team,Web tooling development,Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I use frameworks but none of these,(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,Linux,,0,1,1,1,1,0,0,1,0,18 - 24,7,,,(blank),(blank),(blank),(blank),None of the above,Neither
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),10mbps to 15mbps,5,6,7,4,6,8,5,6,5,6,7,8,5,4,4,8,5,5,6,Front-end web development,Back-end web development,(blank),(blank),(blank),Admin/ops for web team,(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,(blank),(blank),(blank),(blank),Custom built solution,(blank),(blank),Linux,,0,1,1,0,1,1,0,0,0,25 - 29,5,,,A computer science degree,(blank),(blank),(blank),(blank),Cat person
Chrome,HTTP2,Service Workers,Browser Push Notifications,(blank),(blank),(blank),1-3 years,(blank),(blank),5mbps to 10mbps,7,5,9,9,6,8,5,5,3,2,7,7,0,4,8,9,10,0,8,Front-end web development,Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,Angular,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),None of the above,(blank),My team doesn't practice a/b testing,MacOS,(blank),Linux,,1,0,0,0,1,1,1,1,0,18 - 24,3,,,A computer science degree,(blank),(blank),(blank),(blank),Neither
Chrome,(blank),Service Workers,(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),I don't know,8,8,5,5,9,10,10,8,5,5,5,1,0,9,8,2,10,10,9,Front-end web development,Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),Angular,(blank),(blank),(blank),(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,1,1,0,1,0,0,0,0,18 - 24,2,,,(blank),(blank),(blank),A self-paced online learning program,(blank),Neither
Chrome,(blank),(blank),(blank),(blank),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,9,3,9,5,4,9,,,5,5,3,3,0,3,2,3,10,7,5,Front-end web development,Back-end web development,Web design,(blank),Web tooling development,(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),I use frameworks but none of these,I don't use any JavaScript frameworks,(blank),flexbox,grid,(blank),(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,Linux,,0,1,0,1,1,,0,1,1,18 - 24,3,,,A computer science degree,(blank),(blank),(blank),(blank),Cat person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),Accelerated Mobile Pages (AMP),(blank),(blank),(blank),More than 8 years,Over 15mbps,4,8,3,9,7,10,1,7,3,0,4,10,1,0,6,9,10,8,1,Front-end web development,Back-end web development,Web design,Product manager for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't use any JavaScript frameworks,(blank),flexbox,(blank),(blank),(blank),(blank),My team doesn't practice a/b testing,(blank),(blank),Linux,,1,0,1,0,1,0,0,1,0,30 - 34,15,,,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Cat person
